,Condition,Cylinder heating zone 1,Cylinder heating zone 4,Maximum injection pressure,Mould temperature control unit 1,Cycle time,Cylinder heating zone 5,Injection time,Cylinder heating zone 2,Dosage time,Cylinder heating zone 3,Switch-over volume,Material cushion
21,Normal1,280.0,310.0,1539.84,90.0,28.874000000000002,315.0,0.23399999999999999,294.8,2.926,310.0,1.41334,0.9524219999999999
22,Normal1,280.0,309.9,1533.62,90.0,28.874000000000002,315.0,0.23399999999999999,294.8,2.9339999999999997,310.1,1.41334,0.956952
23,Normal1,280.1,310.0,1552.12,90.0,28.872,314.9,0.23399999999999999,294.8,2.9339999999999997,310.0,1.41334,0.9422299999999999
24,Normal1,280.0,310.0,1552.12,90.0,28.872,315.0,0.23399999999999999,294.9,2.944,310.0,1.41334,0.959217
25,Normal1,280.1,310.1,1533.16,90.0,28.872,314.9,0.23399999999999999,294.8,2.944,310.0,1.41334,0.94676
26,Normal1,280.1,310.0,1568.75,90.0,28.872,315.0,0.23399999999999999,,2.924,310.1,1.41334,
27,Normal1,280.1,310.0,1580.72,90.0,28.872,315.1,0.23399999999999999,294.9,2.92,310.1,1.41334,0.947892
28,Normal1,280.1,310.0,1580.72,90.0,28.872,315.1,0.23399999999999999,294.9,2.92,310.1,,0.9875290000000001
29,Normal1,280.1,310.1,1541.08,90.0,28.872,315.1,,295.0,2.912,,1.41334,0.9580850000000001
30,Normal1,280.0,310.0,1549.01,90.0,28.872,315.1,0.23399999999999999,295.0,2.952,310.0,1.41334,0.967144
31,Normal1,280.2,310.0,1553.52,90.0,28.875999999999998,315.2,0.23399999999999999,294.9,2.952,310.1,,
32,Normal1,280.1,310.1,1553.52,90.0,28.875999999999998,315.1,0.23399999999999999,295.0,,310.0,1.41334,0.956952
33,Normal1,280.1,310.1,1552.27,90.0,28.87,315.1,0.23399999999999999,294.9,2.91,310.0,1.41334,0.9546870000000001
34,Normal1,280.2,,1552.27,90.0,28.87,,0.23399999999999999,295.0,2.886,310.0,1.41334,0.96035
35,Normal1,,310.0,1557.71,90.0,28.874000000000002,315.1,0.23399999999999999,295.0,2.9219999999999997,310.1,1.41334,0.959217
36,Normal1,280.1,310.1,1557.71,90.0,,315.0,0.23399999999999999,295.0,2.9219999999999997,310.0,1.41334,0.9660120000000001
37,Normal1,280.1,310.0,,,28.874000000000002,314.9,0.23399999999999999,295.0,2.912,310.0,1.41334,0.96488
38,Normal1,280.1,310.0,1548.08,90.0,28.874000000000002,315.1,0.23399999999999999,295.0,2.924,309.9,1.41334,0.959217
39,Normal1,280.1,310.0,1560.2,90.0,28.872,315.0,0.23399999999999999,295.0,2.944,310.0,1.41334,0.9637469999999999
40,Normal1,280.0,310.0,1563.0,90.0,28.872,315.0,0.23399999999999999,295.0,2.948,310.1,1.41334,
41,Normal1,280.1,310.0,1555.69,90.0,28.872,315.0,0.23399999999999999,295.0,2.948,310.1,1.41334,0.9546870000000001
42,Normal1,280.1,310.0,1555.69,90.0,28.872,315.0,0.23399999999999999,295.1,2.972,310.1,1.41334,0.9546870000000001
43,Normal1,280.1,310.0,1567.97,90.0,28.872,315.0,0.23399999999999999,295.0,2.972,310.0,1.41334,0.961482
44,Normal1,280.1,310.1,1567.97,90.0,28.872,315.0,0.23399999999999999,295.1,2.95,310.1,1.41334,0.9580850000000001
45,Normal1,280.0,310.0,1552.12,90.0,28.872,315.0,0.23399999999999999,295.0,2.9560000000000004,310.0,,0.9580850000000001
46,Normal1,280.0,310.0,1588.64,,,,0.23399999999999999,295.1,2.98,,1.41334,0.969409
